,userId,itemId,rating
0,351,55052,4.5
1,358,55052,5.0
2,414,55052,3.5
3,506,55052,3.0
4,517,55052,4.0
5,600,55052,1.5
6,605,55052,3.0
7,606,55052,3.5
8,599,55061,1.0
9,610,55067,3.5
10,74,55069,4.0
11,253,55069,4.0
12,606,55069,4.0
13,474,55071,4.0
14,28,55080,2.5
15,414,55080,4.0
16,28,55094,3.5
17,215,55094,3.0
18,414,55094,4.0
19,414,55110,3.0
20,68,55112,4.0
21,28,55116,3.0
22,464,55116,2.5
23,599,55116,2.5
24,18,55118,4.5
25,28,55118,4.0
26,52,55118,5.0
27,68,55118,5.0
28,74,55118,5.0
29,139,55118,3.0
30,274,55118,4.0
31,298,55118,2.0
32,351,55118,4.5
33,356,55118,4.5
34,387,55118,3.5
35,414,55118,4.0
36,425,55118,3.5
37,434,55118,4.0
38,474,55118,4.0
39,560,55118,4.0
40,562,55118,4.5
41,610,55118,4.0
42,462,55156,4.0
43,371,55167,5.0
44,477,55167,4.5
45,523,55167,5.0
46,599,55167,4.0
47,68,55190,3.0
48,599,55205,2.5
49,599,55207,3.0
50,68,55232,3.0
51,166,55232,3.5
52,213,55232,3.5
53,232,55232,3.5
54,249,55232,3.0
55,274,55232,1.5
56,380,55232,3.0
57,560,55232,3.5
58,599,55232,2.5
59,610,55232,2.5
60,230,55241,4.5
61,298,55241,0.5
62,307,55241,3.0
63,111,55245,4.5
64,232,55245,2.5
65,307,55245,3.0
66,564,55245,3.0
67,28,55247,3.5
68,41,55247,4.0
69,47,55247,4.0
70,50,55247,2.5
71,65,55247,5.0
72,68,55247,2.5
73,74,55247,4.5
74,103,55247,5.0
75,105,55247,5.0
76,119,55247,4.0
77,122,55247,4.5
78,153,55247,5.0
79,199,55247,5.0
80,212,55247,3.5
81,222,55247,3.5
82,249,55247,3.5
83,274,55247,3.5
84,280,55247,4.5
85,298,55247,2.5
86,307,55247,4.0
87,318,55247,4.5
88,326,55247,5.0
89,334,55247,3.5
90,359,55247,2.5
91,382,55247,5.0
92,405,55247,4.5
93,414,55247,3.5
94,417,55247,5.0
95,466,55247,4.5
96,526,55247,4.5
97,553,55247,5.0
98,560,55247,4.0
99,590,55247,2.5
100,600,55247,1.5
101,606,55247,4.0
102,610,55247,3.5
103,414,55250,2.5
104,448,55250,2.0
105,563,55250,3.5
106,68,55253,4.0
107,74,55253,3.5
108,405,55253,4.0
109,474,55253,3.5
110,381,55259,1.0
111,111,55261,2.5
112,222,55261,1.0
113,249,55261,3.0
114,298,55261,1.5
115,307,55261,3.5
116,414,55261,2.5
117,490,55261,2.5
118,610,55261,3.5
119,68,55267,3.0
120,98,55267,5.0
121,232,55267,3.0
122,307,55267,4.0
123,334,55267,3.5
124,381,55267,4.0
125,414,55267,3.0
126,590,55267,2.5
127,599,55267,2.5
128,89,55269,2.5
129,105,55269,3.0
130,122,55269,4.5
131,132,55269,2.0
132,153,55269,2.5
133,199,55269,4.0
134,226,55269,3.0
135,249,55269,4.0
136,298,55269,2.5
137,307,55269,4.0
138,318,55269,4.0
139,356,55269,4.0
140,414,55269,4.0
141,477,55269,4.5
142,483,55269,4.0
143,489,55269,2.5
144,525,55269,3.5
145,553,55269,3.0
146,560,55269,3.5
147,599,55269,3.0
148,610,55269,4.0
149,307,55272,4.0
150,414,55272,3.5
151,28,55274,2.5
152,414,55274,3.0
153,18,55276,4.0
154,28,55276,2.5
155,52,55276,5.0
156,74,55276,5.0
157,111,55276,4.0
158,127,55276,5.0
159,177,55276,2.5
160,219,55276,4.5
161,232,55276,4.0
162,292,55276,3.5
163,305,55276,5.0
164,317,55276,4.0
165,339,55276,4.5
166,387,55276,4.0
167,414,55276,4.0
168,125,55278,4.5
169,249,55278,4.0
170,41,55280,4.0
171,232,55280,3.5
172,298,55280,0.5
173,307,55280,4.0
174,339,55280,4.0
175,356,55280,5.0
176,387,55280,3.5
177,610,55280,4.0
178,68,55282,4.0
179,92,55282,4.0
180,158,55282,3.0
181,249,55282,3.0
182,274,55282,3.0
183,307,55282,3.0
184,352,55282,4.5
185,380,55282,2.0
186,414,55282,3.0
187,599,55282,2.5
188,610,55282,3.0
189,18,55290,4.5
190,22,55290,1.0
191,28,55290,3.0
192,74,55290,4.0
193,177,55290,3.5
194,219,55290,4.0
195,226,55290,4.0
196,232,55290,3.0
197,249,55290,4.0
198,274,55290,3.5
199,298,55290,3.0
200,307,55290,4.0
201,317,55290,4.0
202,357,55290,5.0
203,387,55290,4.0
204,414,55290,4.0
205,528,55290,1.0
206,599,55290,3.0
207,610,55290,4.0
208,219,55292,1.0
209,298,55292,0.5
210,448,55294,2.5
211,28,55363,3.0
212,74,55363,4.0
213,220,55363,5.0
214,249,55363,4.5
215,279,55363,5.0
216,343,55363,5.0
217,357,55363,5.0
218,414,55363,3.0
219,158,55391,4.5
220,83,55442,4.5
221,193,55442,5.0
222,241,55442,4.0
223,253,55442,4.5
224,318,55442,4.0
225,462,55442,4.0
226,474,55442,3.5
227,477,55442,4.5
228,560,55442,4.0
229,606,55442,4.5
230,74,55444,5.0
231,414,55444,3.5
232,560,55444,4.0
233,215,55451,3.5
234,563,55451,3.5
235,610,55492,4.0
236,230,55553,1.0
237,380,55553,3.0
238,610,55553,3.0
239,351,55555,3.5
240,76,55577,4.5
241,232,55577,3.0
242,249,55577,2.5
243,274,55577,2.5
244,351,55577,3.5
245,68,55620,3.0
246,253,55620,3.5
247,474,55687,4.5
248,28,55721,3.5
249,105,55721,4.0
250,227,55721,5.0
251,274,55721,4.5
252,305,55721,5.0
253,318,55721,4.0
254,326,55721,4.5
255,339,55721,4.0
256,528,55721,5.0
257,610,55721,3.5
258,307,55729,3.0
259,18,55765,4.5
260,22,55765,1.0
261,28,55765,2.5
262,41,55765,2.0
263,52,55765,4.0
264,68,55765,3.5
265,80,55765,4.0
266,122,55765,5.0
267,123,55765,4.0
268,177,55765,4.0
269,211,55765,4.0
270,226,55765,5.0
271,232,55765,4.0
272,233,55765,3.0
273,239,55765,4.5
274,249,55765,3.5
275,271,55765,4.0
276,274,55765,4.0
277,282,55765,4.0
278,305,55765,5.0
279,307,55765,4.5
280,318,55765,4.0
281,331,55765,4.0
282,334,55765,3.5
283,339,55765,5.0
284,414,55765,4.0
285,419,55765,4.0
286,448,55765,4.0
287,495,55765,4.5
288,537,55765,5.0
289,553,55765,5.0
290,585,55765,5.0
291,590,55765,3.5
292,610,55765,3.5
293,73,55768,4.0
294,232,55768,3.5
295,288,55768,3.0
296,381,55768,3.5
297,382,55768,3.0
298,401,55768,2.5
299,414,55768,2.5
300,448,55768,3.5
301,489,55768,2.5
302,534,55768,3.5
303,606,55805,3.0
304,215,55814,5.0
305,474,55814,4.0
306,511,55814,4.0
307,526,55814,4.0
308,22,55820,4.0
309,28,55820,4.5
310,29,55820,4.0
311,41,55820,5.0
312,62,55820,5.0
313,68,55820,3.5
314,70,55820,4.0
315,74,55820,4.5
316,76,55820,3.0
317,88,55820,4.5
318,103,55820,4.5
319,122,55820,5.0
320,141,55820,3.5
321,168,55820,4.5
322,199,55820,4.0
323,204,55820,4.0
324,215,55820,4.0
325,219,55820,4.0
326,220,55820,4.5
327,223,55820,3.0
328,226,55820,5.0
329,227,55820,4.0
330,239,55820,5.0
331,246,55820,4.5
332,249,55820,4.0
333,274,55820,4.0
334,279,55820,3.5
335,301,55820,5.0
336,305,55820,4.0
337,307,55820,4.5
338,317,55820,5.0
339,318,55820,4.0
340,326,55820,4.5
341,328,55820,4.5
342,331,55820,5.0
343,332,55820,4.0
344,334,55820,3.0
345,339,55820,5.0
346,343,55820,4.5
347,351,55820,4.0
348,380,55820,4.0
349,381,55820,4.0
350,387,55820,4.5
351,405,55820,4.5
352,414,55820,4.5
353,434,55820,5.0
354,454,55820,3.5
355,462,55820,3.0
356,517,55820,1.0
357,522,55820,4.5
358,528,55820,1.0
359,553,55820,4.0
360,585,55820,4.5
361,590,55820,4.0
362,599,55820,3.0
363,610,55820,5.0
364,68,55830,4.0
365,232,55830,3.0
366,249,55830,3.5
367,298,55830,2.0
368,307,55830,4.5
369,356,55830,3.0
370,414,55830,3.5
371,448,55830,3.0
372,600,55830,4.0
373,610,55830,3.5
374,596,55844,3.5
375,223,55854,3.0
376,111,55872,3.0
377,177,55872,4.0
378,233,55872,3.0
379,414,55872,3.5
380,483,55872,4.5
381,605,55872,3.0
382,28,55908,3.5
383,62,55908,4.0
384,125,55908,4.0
385,305,55908,5.0
386,352,55908,5.0
387,408,55908,5.0
388,511,55908,4.0
389,537,55946,5.0
390,606,55946,3.0
391,232,55995,2.5
392,249,55995,3.0
393,274,55995,2.0
394,298,55995,1.5
395,381,55995,3.0
396,414,55995,3.5
397,448,55995,2.0
398,610,55995,3.0
399,307,56003,3.0
400,380,56003,3.0
401,274,56012,3.5
402,298,56012,2.0
403,599,56022,2.0
404,105,56060,4.5
405,28,56145,1.0
406,105,56145,4.0
407,274,56145,4.5
408,288,56145,4.0
409,339,56145,4.0
410,352,56145,5.0
411,362,56145,4.5
412,477,56145,4.0
413,509,56145,3.0
414,599,56145,3.0
415,610,56145,4.5
416,68,56152,3.0
417,98,56152,4.0
418,177,56152,4.0
419,232,56152,4.5
420,274,56152,3.0
421,306,56152,3.5
422,308,56152,3.5
423,365,56152,3.5
424,380,56152,4.0
425,381,56152,3.5
426,382,56152,4.5
427,483,56152,3.0
428,509,56152,3.0
429,525,56152,3.5
430,534,56152,4.0
431,538,56152,4.5
432,605,56152,3.5
433,219,56156,2.5
434,249,56156,3.5
435,305,56156,4.5
436,318,56156,3.5
437,362,56156,3.0
438,380,56156,4.0
439,610,56156,2.0
440,464,56169,4.0
441,22,56171,0.5
442,104,56171,4.0
443,177,56171,3.5
444,210,56171,3.5
445,219,56171,2.0
446,226,56171,3.5
447,232,56171,2.5
448,305,56171,3.0
449,352,56171,2.5
450,381,56171,2.5
451,382,56171,4.0
452,414,56171,3.0
453,475,56171,5.0
454,509,56171,3.0
455,517,56171,3.0
456,534,56171,3.5
457,556,56171,4.0
458,605,56171,3.0
459,15,56174,3.5
460,28,56174,4.0
461,29,56174,4.0
462,50,56174,1.5
463,62,56174,4.0
464,68,56174,3.5
