,userId,date,ratings_per_day
15,7,2005-01-25,77
16,7,2005-01-26,25
17,7,2005-01-27,1
18,7,2005-01-31,3
19,7,2005-02-04,2
20,7,2005-02-17,2
21,7,2005-03-02,2
22,7,2005-03-07,1
23,7,2005-03-14,2
24,7,2005-03-15,1
25,7,2005-03-23,1
26,7,2005-04-13,1
27,7,2005-04-15,1
28,7,2005-05-20,1
29,7,2005-06-06,4
30,7,2005-07-11,3
31,7,2005-07-26,2
32,7,2005-08-02,1
33,7,2005-08-31,1
34,7,2005-10-05,1
35,7,2006-04-12,1
36,7,2006-06-06,1
37,7,2006-09-01,1
38,7,2006-09-11,3
39,7,2006-09-26,1
40,7,2006-10-25,4
41,7,2006-10-30,2
42,7,2006-12-12,1
43,7,2007-01-25,1
44,7,2007-03-05,2
45,7,2007-03-19,2
46,7,2007-04-10,1
67,18,2016-02-09,108
68,18,2016-02-10,10
69,18,2016-02-11,33
70,18,2016-02-12,28
71,18,2016-02-15,9
72,18,2016-02-16,29
73,18,2016-02-17,15
74,18,2016-02-18,63
75,18,2016-02-25,2
76,18,2016-02-26,1
77,18,2016-02-27,1
78,18,2016-02-28,4
79,18,2016-02-29,17
80,18,2016-03-01,10
81,18,2016-03-02,20
82,18,2016-03-03,8
83,18,2016-03-07,7
84,18,2016-03-08,3
85,18,2016-03-09,1
86,18,2016-03-10,1
87,18,2016-03-11,1
88,18,2016-03-21,5
89,18,2016-03-22,3
90,18,2016-03-30,1
91,18,2016-03-31,1
92,18,2016-04-01,1
93,18,2016-04-05,1
94,18,2016-04-06,2
95,18,2016-04-08,1
96,18,2016-04-10,2
97,18,2016-04-13,1
98,18,2016-04-22,1
99,18,2016-05-02,1
100,18,2016-05-19,1
101,18,2016-05-20,1
102,18,2016-06-03,1
103,18,2016-06-04,4
104,18,2016-06-06,1
105,18,2016-06-09,1
106,18,2016-06-19,1
107,18,2016-06-21,1
108,18,2016-06-26,4
109,18,2016-06-27,1
110,18,2016-07-12,1
111,18,2016-07-19,1
112,18,2016-07-29,1
113,18,2016-07-31,2
114,18,2016-08-01,1
115,18,2016-08-02,1
116,18,2016-08-03,1
117,18,2016-08-13,1
118,18,2016-09-04,3
119,18,2016-09-08,2
120,18,2016-09-09,1
121,18,2016-09-27,1
122,18,2016-09-30,1
123,18,2016-10-14,1
124,18,2016-10-18,2
125,18,2016-10-19,5
126,18,2016-10-20,1
127,18,2016-10-25,1
128,18,2016-10-26,1
129,18,2016-10-30,1
130,18,2016-11-03,1
131,18,2016-11-05,3
132,18,2016-11-08,4
133,18,2016-12-21,2
134,18,2017-01-01,1
135,18,2017-01-11,1
136,18,2017-01-22,3
137,18,2017-01-25,1
138,18,2017-01-29,1
139,18,2017-02-03,1
140,18,2017-02-09,1
141,18,2017-02-11,1
142,18,2017-02-12,1
143,18,2017-03-17,1
144,18,2017-04-21,2
145,18,2017-04-25,1
146,18,2017-04-26,1
147,18,2017-05-04,1
148,18,2017-07-09,2
149,18,2017-07-21,1
150,18,2017-07-22,1
151,18,2017-08-08,1
152,18,2017-08-16,2
153,18,2017-08-17,1
154,18,2017-09-07,1
155,18,2017-09-08,2
156,18,2017-09-09,1
157,18,2017-09-17,1
158,18,2017-11-17,1
159,18,2017-11-18,1
160,18,2017-11-19,2
161,18,2017-11-25,1
162,18,2017-11-26,1
163,18,2017-12-09,2
164,18,2017-12-12,1
165,18,2017-12-15,1
166,18,2017-12-16,1
167,18,2018-01-09,1
168,18,2018-01-16,1
169,18,2018-02-01,1
170,18,2018-02-02,1
171,18,2018-02-03,2
172,18,2018-03-16,1
173,18,2018-03-17,1
174,18,2018-03-18,1
175,18,2018-05-13,1
176,18,2018-08-11,3
177,18,2018-08-19,1
178,18,2018-08-20,1
182,21,2013-08-18,34
183,21,2014-06-22,76
184,21,2014-06-24,2
185,21,2014-08-09,17
186,21,2014-08-10,3
187,21,2014-10-10,18
188,21,2014-10-11,1
189,21,2014-11-30,10
190,21,2014-12-08,33
191,21,2014-12-17,17
192,21,2014-12-18,15
193,21,2014-12-19,12
194,21,2014-12-28,36
195,21,2015-01-17,7
196,21,2015-02-08,10
197,21,2015-03-28,13
198,21,2015-04-11,4
199,21,2015-07-15,11
200,21,2015-08-16,2
201,21,2015-09-04,21
202,21,2015-09-09,12
203,21,2016-01-06,23
204,21,2016-07-10,36
205,21,2017-01-02,3
206,21,2017-07-22,27
218,28,2009-02-11,141
219,28,2009-02-13,75
220,28,2009-02-14,39
221,28,2009-02-17,26
222,28,2009-02-28,14
223,28,2009-03-02,13
224,28,2009-03-05,2
225,28,2009-03-06,28
226,28,2009-03-21,4
227,28,2009-04-20,5
228,28,2009-04-27,6
229,28,2009-05-11,46
230,28,2009-05-12,6
231,28,2009-05-14,113
232,28,2009-05-21,4
233,28,2009-06-01,19
234,28,2010-06-20,29
272,45,2000-02-16,63
273,45,2000-02-17,69
274,45,2000-02-21,25
275,45,2000-02-22,37
276,45,2000-02-28,11
277,45,2000-03-22,2
278,45,2000-05-29,20
279,45,2001-12-04,23
280,45,2001-12-10,23
281,45,2001-12-26,2
282,45,2002-05-07,28
283,45,2002-05-15,8
284,45,2002-06-05,1
285,45,2002-10-11,19
286,45,2002-10-22,1
287,45,2003-07-01,9
288,45,2004-07-31,25
289,45,2005-07-19,24
290,45,2007-10-25,9
295,50,2017-07-20,2
296,50,2017-07-22,1
297,50,2017-12-25,93
298,50,2017-12-26,92
299,50,2017-12-28,4
300,50,2017-12-29,1
301,50,2018-01-01,2
302,50,2018-01-02,5
303,50,2018-01-05,2
304,50,2018-01-10,1
305,50,2018-01-18,1
306,50,2018-01-29,1
307,50,2018-01-31,1
308,50,2018-02-07,4
309,50,2018-02-09,19
310,50,2018-02-20,1
311,50,2018-03-30,2
312,50,2018-04-06,2
313,50,2018-04-15,2
314,50,2018-04-26,1
315,50,2018-05-03,4
316,50,2018-05-14,2
317,50,2018-05-23,24
318,50,2018-05-27,14
319,50,2018-05-29,14
320,50,2018-05-31,2
321,50,2018-06-21,3
322,50,2018-08-03,4
323,50,2018-08-13,5
324,50,2018-09-13,1
340,62,2018-03-19,193
341,62,2018-03-23,27
342,62,2018-03-25,10
343,62,2018-03-26,2
344,62,2018-03-28,12
345,62,2018-03-29,1
346,62,2018-03-30,1
347,62,2018-03-31,2
348,62,2018-04-01,1
349,62,2018-04-04,1
350,62,2018-04-06,6
351,62,2018-04-07,13
352,62,2018-04-08,1
353,62,2018-04-12,1
354,62,2018-04-14,1
355,62,2018-04-15,12
356,62,2018-04-20,1
357,62,2018-04-29,1
358,62,2018-05-01,11
359,62,2018-05-05,6
360,62,2018-05-06,28
361,62,2018-05-08,2
362,62,2018-05-09,1
363,62,2018-05-10,1
364,62,2018-05-11,1
365,62,2018-05-12,2
366,62,2018-05-13,1
367,62,2018-05-14,1
368,62,2018-05-17,1
369,62,2018-05-22,1
370,62,2018-05-25,2
371,62,2018-06-03,1
372,62,2018-06-05,1
373,62,2018-06-13,3
374,62,2018-06-14,6
375,62,2018-06-21,1
376,62,2018-06-23,1
377,62,2018-06-30,2
378,62,2018-07-01,2
379,62,2018-07-27,2
380,62,2018-09-11,1
381,62,2018-09-14,2
401,68,2006-09-18,546
402,68,2006-12-17,1
403,68,2006-12-18,9
404,68,2007-06-04,21
405,68,2007-12-24,17
406,68,2008-04-21,17
407,68,2008-08-14,4
408,68,2008-12-28,50
409,68,2009-01-31,18
410,68,2009-02-16,1
411,68,2009-04-19,50
412,68,2009-09-12,10
413,68,2009-09-27,2
414,68,2009-12-17,22
415,68,2009-12-24,113
416,68,2010-02-27,28
417,68,2010-03-15,8
418,68,2010-03-17,14
419,68,2010-03-20,33
420,68,2010-03-21,77
421,68,2010-04-18,22
422,68,2010-05-02,1
423,68,2010-05-14,1
424,68,2010-06-08,40
425,68,2010-09-08,2
426,68,2010-12-01,1
427,68,2010-12-10,1
428,68,2010-12-28,8
429,68,2011-05-03,1
430,68,2011-05-10,3
431,68,2011-05-12,11
432,68,2011-05-20,10
433,68,2011-05-31,1
434,68,2011-06-17,1
435,68,2011-07-10,2
436,68,2011-08-07,4
437,68,2011-08-18,2
438,68,2011-09-18,2
439,68,2011-10-01,1
440,68,2011-10-03,1
441,68,2011-10-31,3
442,68,2011-11-22,1
443,68,2012-01-16,1
444,68,2012-03-25,18
445,68,2012-05-10,2
446,68,2012-06-24,1
447,68,2012-07-14,3
448,68,2012-08-02,2
449,68,2012-08-28,9
450,68,2012-10-27,3
451,68,2012-11-11,1
452,68,2012-12-12,4
453,68,2013-01-02,4
454,68,2013-01-27,4
455,68,2013-02-21,1
456,68,2013-03-22,1
457,68,2013-06-30,3
458,68,2013-07-04,1
459,68,2018-05-22,37
460,68,2018-05-29,1
461,68,2018-07-29,4
534,104,2003-03-25,83
535,104,2003-03-27,12
536,104,2003-03-30,4
537,104,2003-03-31,3
538,104,2003-04-01,1
539,104,2003-04-02,1
540,104,2003-04-11,1
541,104,2003-04-17,1
542,104,2003-04-26,1
543,104,2003-05-18,2
544,104,2003-05-19,15
545,104,2003-06-15,2
546,104,2003-06-21,2
547,104,2003-08-09,1
548,104,2003-08-20,1
549,104,2003-09-03,2
550,104,2003-10-07,1
551,104,2003-11-15,2
552,104,2003-12-18,2
553,104,2004-01-24,1
554,104,2004-02-16,4
555,104,2004-02-29,2
556,104,2004-03-22,2
557,104,2004-04-23,1
558,104,2004-06-20,2
559,104,2004-07-23,6
560,104,2004-09-17,2
561,104,2004-10-06,1
562,104,2004-10-23,1
563,104,2004-11-22,4
564,104,2005-03-11,1
565,104,2005-04-09,2
566,104,2005-04-30,1
567,104,2005-05-06,1
568,104,2005-08-04,2
569,104,2005-10-14,2
570,104,2005-10-29,1
571,104,2005-11-06,1
572,104,2006-01-04,5
573,104,2006-04-28,6
574,104,2006-10-24,3
575,104,2006-12-07,1
576,104,2006-12-12,1
577,104,2007-09-06,3
578,104,2007-10-29,1
579,104,2007-12-31,2
580,104,2008-01-12,1
581,104,2008-03-15,1
582,104,2008-08-28,2
583,104,2009-01-05,2
584,104,2009-03-27,1
585,104,2009-03-29,1
586,104,2009-07-08,1
587,104,2009-11-01,3
588,104,2010-12-18,9
589,104,2010-12-19,1
590,104,2010-12-31,1
591,104,2011-01-02,2
592,104,2011-01-04,1
