userId,date,ratings-per-day,days-per-user
339,2017-07-20,1,23
339,2016-04-15,1,23
339,2016-04-19,1,23
339,2017-03-01,1,23
339,2017-05-07,1,23
339,2017-10-09,1,23
339,2017-09-09,2,23
339,2017-07-21,2,23
339,2017-10-12,2,23
339,2016-04-12,2,23
339,2017-10-03,3,23
339,2016-12-17,3,23
339,2016-04-29,3,23
339,2016-04-28,3,23
339,2016-04-20,3,23
339,2016-04-18,3,23
339,2017-08-28,5,23
339,2016-04-16,5,23
339,2017-05-09,8,23
339,2016-04-17,16,23
339,2016-04-11,27,23
339,2016-04-13,68,23
339,2016-04-09,210,23
474,2004-08-12,1,397
474,2004-08-10,1,397
474,2004-08-06,1,397
474,2004-08-04,1,397
474,2004-07-29,1,397
474,2004-07-27,1,397
474,2004-07-21,1,397
474,2004-07-15,1,397
474,2004-07-07,1,397
474,2004-06-30,1,397
474,2004-06-22,1,397
474,2004-07-20,1,397
474,2004-10-29,1,397
474,2004-10-04,1,397
474,2004-10-01,1,397
474,2004-09-21,1,397
474,2004-09-17,1,397
474,2004-09-14,1,397
474,2004-09-09,1,397
474,2004-08-19,1,397
474,2004-08-18,1,397
474,2004-08-17,1,397
474,2004-06-17,1,397
474,2004-05-19,1,397
474,2004-05-14,1,397
474,2004-05-21,1,397
474,2004-06-10,1,397
474,2004-05-28,1,397
474,2004-05-27,1,397
474,2004-05-25,1,397
474,2004-12-13,1,397
474,2004-12-15,1,397
474,2004-11-04,1,397
474,2004-12-03,1,397
474,2004-11-30,1,397
474,2004-11-20,1,397
474,2004-11-17,1,397
474,2004-11-16,1,397
474,2004-11-09,1,397
474,2004-12-10,1,397
474,2004-02-27,1,397
474,2004-02-05,1,397
474,2004-01-27,1,397
474,2004-01-29,1,397
474,2004-05-13,1,397
474,2004-05-07,1,397
474,2004-04-27,1,397
474,2004-04-26,1,397
474,2004-04-19,1,397
474,2004-04-08,1,397
474,2004-03-23,1,397
474,2004-03-12,1,397
474,2004-12-22,1,397
474,2005-06-10,1,397
474,2005-06-02,1,397
474,2005-05-25,1,397
474,2005-05-20,1,397
474,2005-05-10,1,397
474,2005-05-06,1,397
474,2005-05-03,1,397
474,2005-09-28,1,397
474,2005-06-21,1,397
474,2005-06-17,1,397
474,2005-06-15,1,397
474,2005-06-23,1,397
474,2005-06-27,1,397
474,2005-09-14,1,397
